,Hospital.Name,State,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack
92,NYU HOSPITALS CENTER,NY,10.1
66,MAIMONIDES MEDICAL CENTER,NY,11
84,NEW YORK-PRESBYTERIAN HOSPITAL,NY,11.4
121,ST FRANCIS HOSPITAL, ROSLYN,NY,11.4
117,ST CATHERINE OF SIENA HOSPITAL,NY,12
87,NORTH SHORE UNIVERSITY HOSPITAL,NY,12.5
8,BELLEVUE HOSPITAL CENTER,NY,12.6
51,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,12.6
60,LENOX HILL HOSPITAL,NY,12.7
5,ARNOT OGDEN MEDICAL CENTER,NY,12.8
104,ROCHESTER GENERAL HOSPITAL,NY,12.8
94,ORANGE REGIONAL MEDICAL CENTER,NY,12.9
99,PHELPS MEMORIAL HOSPITAL ASSN,NY,12.9
25,CONEY ISLAND HOSPITAL,NY,13.1
146,WHITE PLAINS HOSPITAL CENTER,NY,13.1
130,ST LUKE'S ROOSEVELT HOSPITAL,NY,13.2
144,VASSAR BROTHERS MEDICAL CENTER,NY,13.2
145,WESTCHESTER MEDICAL CENTER,NY,13.2
59,LAWRENCE HOSPITAL CENTER,NY,13.3
72,METROPOLITAN HOSPITAL CENTER,NY,13.3
139,UNIVERSITY HOSPITAL ( STONY BROOK ),NY,13.3
11,BON SECOURS COMMUNITY HOSPITAL,NY,13.4
105,ROME MEMORIAL HOSPITAL, INC,NY,13.4
9,BENEDICTINE HOSPITAL,NY,13.5
73,MONTEFIORE MEDICAL CENTER,NY,13.5
126,ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,13.5
114,SOUTHSIDE HOSPITAL,NY,13.6
20,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,NY,13.7
140,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),NY,13.7
143,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,NY,13.7
150,WYCKOFF HEIGHTS MEDICAL CENTER,NY,13.7
88,NORTHERN DUTCHESS HOSPITAL,NY,13.8
74,MOUNT SINAI HOSPITAL,NY,13.9
134,STRONG MEMORIAL HOSPITAL,NY,13.9
37,FOREST HILLS HOSPITAL,NY,14
53,KALEIDA HEALTH,NY,14
85,NEWARK-WAYNE COMMUNITY HOSPITAL,NY,14
91,NYACK HOSPITAL,NY,14
112,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,14
19,CAYUGA MEDICAL CENTER AT ITHACA,NY,14.1
28,CROUSE HOSPITAL,NY,14.1
30,EASTERN NIAGARA HOSPITAL,NY,14.1
42,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,14.1
89,NORTHERN WESTCHESTER HOSPITAL,NY,14.1
81,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,NY,14.2
102,QUEENS HOSPITAL CENTER,NY,14.2
128,ST JOSEPH'S MEDICAL CENTER,NY,14.2
131,ST MARY'S HOSPITAL AT AMSTERDAM,NY,14.2
138,UNITY HOSPITAL OF ROCHESTER,NY,14.2
2,ALBANY MEDICAL CENTER HOSPITAL,NY,14.3
29,EASTERN LONG ISLAND HOSPITAL,NY,14.3
40,GLEN COVE HOSPITAL,NY,14.3
71,MERCY MEDICAL CENTER,NY,14.3
95,OSWEGO HOSPITAL,NY,14.3
147,WINTHROP-UNIVERSITY HOSPITAL,NY,14.3
76,MOUNT VERNON HOSPITAL,NY,14.4
4,ALICE HYDE MEDICAL CENTER,NY,14.5
41,GLENS FALLS HOSPITAL,NY,14.5
98,PENINSULA HOSPITAL CENTER,NY,14.5
111,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,NY,14.5
113,SOUTHAMPTON HOSPITAL,NY,14.5
120,ST FRANCIS HOSPITAL,NY,14.5
38,FRANKLIN HOSPITAL,NY,14.6
44,HARLEM HOSPITAL CENTER,NY,14.6
132,ST PETER'S HOSPITAL,NY,14.6
12,BRONX-LEBANON HOSPITAL CENTER,NY,14.7
46,HUDSON VALLEY HOSPITAL CENTER,NY,14.7
56,KINGSBROOK JEWISH MEDICAL CENTER,NY,14.7
43,GOOD SAMARITAN HOSPITAL OF SUFFERN,NY,14.8
50,JAMAICA HOSPITAL MEDICAL CENTER,NY,14.8
96,OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC,NY,14.8
136,UNITED HEALTH SERVICES HOSPITALS, INC,NY,14.8
54,KENMORE MERCY HOSPITAL,NY,14.9
61,LEWIS COUNTY GENERAL HOSPITAL,NY,15
127,ST JOSEPH'S HOSPITAL, INC,NY,15
142,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),NY,15
23,COLUMBIA MEMORIAL HOSPITAL,NY,15.1
83,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,NY,15.1
97,PECONIC BAY MEDICAL CENTER,NY,15.2
100,PLAINVIEW HOSPITAL,NY,15.2
101,PUTNAM HOSPITAL CENTER,NY,15.2
109,SETON HEALTH SYSTEM-ST MARY'S CAMPUS,NY,15.2
110,SISTERS OF CHARITY HOSPITAL,NY,15.2
119,ST ELIZABETH MEDICAL CENTER,NY,15.2
135,SYRACUSE VA MEDICAL CENTER,NY,15.2
57,KINGSTON HOSPITAL,NY,15.4
115,ST ANTHONY COMMUNITY HOSPITAL,NY,15.4
118,ST CHARLES HOSPITAL,NY,15.4
122,ST JAMES MERCY HOSPITAL,NY,15.4
1,ADIRONDACK MEDICAL CENTER,NY,15.5
58,LAKESIDE MEMORIAL HOSPITAL,NY,15.5
68,MASSENA MEMORIAL HOSPITAL,NY,15.5
80,NEW YORK DOWNTOWN HOSPITAL,NY,15.5
123,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,15.5
151,WYOMING COUNTY COMMUNITY HOSPITAL,NY,15.5
22,CLAXTON-HEPBURN MEDICAL CENTER,NY,15.6
26,CORNING HOSPITAL,NY,15.6
79,NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.,NY,15.6
103,RICHMOND UNIVERSITY MEDICAL CENTER,NY,15.6
129,ST LUKE'S CORNWALL HOSPITAL,NY,15.6
27,CORTLAND REGIONAL MEDICAL CENTER, INC,NY,15.7
33,ERIE COUNTY MEDICAL CENTER,NY,15.7
70,MERCY HOSPITAL,NY,15.7
6,AUBURN COMMUNITY HOSPITAL,NY,15.8
52,JONES MEMORIAL HOSPITAL,NY,15.8
63,LONG BEACH MEDICAL CENTER,NY,15.8
82,NEW YORK METHODIST HOSPITAL,NY,15.8
124,ST JOHN'S RIVERSIDE HOSPITAL,NY,15.8
133,STATEN ISLAND UNIVERSITY HOSPITAL,NY,15.8
18,CATSKILL REGIONAL MEDICAL CENTER,NY,15.9
75,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,NY,15.9
10,BETH ISRAEL MEDICAL CENTER,NY,16
14,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,NY,16
21,CHENANGO MEMORIAL HOSPITAL, INC,NY,16
47,HUNTINGTON HOSPITAL,NY,16
90,NORTHPORT VA MEDICAL CENTER,NY,16
7,AURELIA OSBORN FOX MEMORIAL HOSPITAL,NY,16.1
69,MEDINA MEMORIAL HOSPITAL,NY,16.1
141,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,16.1
31,ELLIS HOSPITAL,NY,16.2
36,FLUSHING HOSPITAL MEDICAL CENTER,NY,16.2
13,BROOKDALE HOSPITAL MEDICAL CENTER,NY,16.3
55,KINGS COUNTY HOSPITAL CENTER,NY,16.3
64,LONG ISLAND JEWISH MEDICAL CENTER,NY,16.4
67,MARY IMOGENE BASSETT HOSPITAL,NY,16.5
107,SAMARITAN MEDICAL CENTER,NY,16.5
93,OLEAN GENERAL HOSPITAL,NY,16.6
125,ST JOSEPH HOSPITAL,NY,16.6
137,UNITED MEMORIAL MEDICAL CENTER,NY,16.6
65,LUTHERAN MEDICAL CENTER,NY,16.7
106,SAMARITAN HOSPITAL,NY,16.7
108,SARATOGA HOSPITAL,NY,16.7
3,ALBANY MEMORIAL HOSPITAL,NY,16.8
16,CANTON-POTSDAM HOSPITAL,NY,16.8
49,JACOBI MEDICAL CENTER,NY,16.8
15,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NY,16.9
35,FAXTON-ST LUKE'S HEALTHCARE,NY,17
116,ST BARNABAS HOSPITAL,NY,17
149,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,NY,17
17,CARTHAGE AREA HOSPITAL, INC,NY,17.3
78,NATHAN LITTAUER HOSPITAL,NY,17.3
86,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NY,17.4
32,ELMHURST HOSPITAL CENTER,NY,17.5
45,HIGHLAND HOSPITAL,NY,17.5
39,GENEVA GENERAL HOSPITAL,NY,17.6
48,INTERFAITH MEDICAL CENTER,NY,17.6
24,COMMUNITY MEMORIAL HOSPITAL, INC,NY,17.8
77,NASSAU UNIVERSITY MEDICAL CENTER,NY,17.8
62,LINCOLN MEDICAL & MENTAL HEALTH CENTER,NY,18.1
148,WOMAN'S CHRISTIAN ASSOCIATION,NY,18.2
34,F F THOMPSON HOSPITAL,NY,18.8
