,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,03JAN1990,23.4,0.4,25.1,0.3,26.6,0,28.6,0.3
2,10JAN1990,23.4,0.8,25.2,0.3,26.6,0.1,28.6,0.3
3,17JAN1990,24.2,0.3,25.3,0.3,26.5,0.1,28.6,0.3
4,24JAN1990,24.4,0.5,25.5,0.4,26.5,0.1,28.4,0.2
5,31JAN1990,25.1,0.2,25.8,0.2,26.7,0.1,28.4,0.2
6,07FEB1990,25.8,0.2,26.1,0.1,26.8,0.1,28.4,0.3
7,14FEB1990,25.9,0.1,26.4,0,26.9,0.2,28.5,0.4
8,21FEB1990,26.1,0.1,26.7,0.2,27.1,0.3,28.9,0.8
9,28FEB1990,26.1,0.2,26.7,0.1,27.2,0.3,29,0.8
10,07MAR1990,26.7,0.3,26.7,0.2,27.3,0.2,28.9,0.7
11,14MAR1990,26.1,0.4,26.9,0.2,27.3,0.1,28.6,0.4
12,21MAR1990,26.1,0.2,27.2,0,27.6,0.3,28.7,0.5
13,28MAR1990,25.7,0.4,27.5,0.2,27.8,0.3,28.8,0.5
14,04APR1990,25.6,0.3,27.6,0.3,27.9,0.4,28.8,0.4
15,11APR1990,25.1,0.6,27.6,0.2,27.9,0.2,28.8,0.3
16,18APR1990,25.3,0,27.7,0.2,28,0.2,28.9,0.4
17,25APR1990,25.1,0,27.8,0.4,28.2,0.4,29.2,0.6
18,02MAY1990,24.6,0.2,27.6,0.3,28.1,0.3,29,0.4
19,09MAY1990,24.2,0.2,27.5,0.3,28.1,0.3,28.9,0.2
20,16MAY1990,24.3,0.1,27.4,0.3,28,0.2,28.8,0.1
21,23MAY1990,23.7,0.2,27.2,0.2,28.1,0.3,29,0.2
22,30MAY1990,23.4,0.1,27.1,0.3,27.9,0.2,28.9,0.1
23,06JUN1990,23.2,0,26.7,0.1,27.7,0,28.9,0.1
24,13JUN1990,22.8,0.2,26.6,0.1,27.7,0,29,0.1
25,20JUN1990,22.5,0.1,26.4,0,27.5,0.1,29,0.1
26,27JUN1990,22.1,0.3,26,0.1,27.3,0.2,28.9,0.1
27,04JUL1990,21.7,0.4,25.8,0.2,27.3,0.1,28.9,0.1
28,11JUL1990,21.3,0.5,25.4,0.3,27.2,0.1,28.8,0
29,18JUL1990,21,0.5,25.7,0.1,27.4,0.2,29.1,0.3
30,25JUL1990,20.2,1.1,25.1,0.4,27.3,0.1,29.1,0.3
31,01AUG1990,20.6,0.6,25.1,0.2,27.1,0.1,29,0.3
32,08AUG1990,20.4,0.5,25.2,0.1,27.2,0.3,29.3,0.6
33,15AUG1990,20.4,0.3,25.1,0.1,27,0.2,29.2,0.5
34,22AUG1990,19.8,0.7,24.9,0,27,0.2,29.2,0.5
35,29AUG1990,20.2,0.3,25,0.1,26.9,0.2,29,0.4
36,05SEP1990,19.7,0.8,24.9,0,26.7,0,28.9,0.3
37,12SEP1990,20.1,0.3,24.7,0.2,26.7,0,29.1,0.4
38,19SEP1990,20.3,0.1,24.9,0.1,26.8,0,29.1,0.4
39,26SEP1990,20.3,0.2,24.8,0.1,26.7,0,29,0.3
40,03OCT1990,20.8,0.1,25.1,0.2,26.9,0.2,29.2,0.5
41,10OCT1990,20.1,0.6,24.9,0,27,0.3,29.1,0.5
42,17OCT1990,20.3,0.6,24.9,0,27,0.3,29.3,0.6
43,24OCT1990,20.1,0.9,24.9,0.1,27,0.4,29.3,0.6
44,31OCT1990,20.2,1,24.7,0.2,26.9,0.2,29.2,0.6
45,07NOV1990,20.5,0.8,25,0.1,27,0.3,29.1,0.5
46,14NOV1990,20.8,0.8,24.8,0.1,26.7,0,29,0.4
47,21NOV1990,20.9,0.9,24.6,0.4,26.6,0,29,0.4
48,28NOV1990,21.5,0.6,24.8,0.3,26.5,0.1,28.9,0.4
49,05DEC1990,22.2,0.2,25.2,0.1,26.9,0.3,29.2,0.7
50,12DEC1990,22.1,0.5,25,0.1,26.8,0.3,29.3,0.8
51,19DEC1990,22.2,0.8,24.9,0.3,26.9,0.4,29.2,0.7
52,26DEC1990,23.3,0,25.3,0,27,0.4,29,0.6
53,02JAN1991,23.2,0.5,25.3,0.1,26.9,0.4,28.9,0.5
54,09JAN1991,23.5,0.6,25.4,0.1,27,0.4,29.1,0.8
55,16JAN1991,23.7,0.7,25.7,0.1,27,0.5,29,0.8
56,23JAN1991,24.2,0.6,25.8,0,27.1,0.5,29,0.8
57,30JAN1991,24.7,0.5,26,0,27,0.3,28.9,0.7
58,06FEB1991,25.4,0.2,26.1,0,27,0.3,28.8,0.6
59,13FEB1991,26,0,26.3,0,27,0.3,28.8,0.7
60,20FEB1991,26.5,0.3,26.3,0.2,26.9,0.1,28.7,0.6
61,27FEB1991,26.5,0.2,26.5,0.2,26.8,0.1,28.5,0.4
62,06MAR1991,26.5,0.2,26.6,0.3,26.8,0.2,28.5,0.3
63,13MAR1991,26.8,0.4,27,0.1,27.1,0.1,28.5,0.3
64,20MAR1991,26.6,0.2,27.1,0.1,27.4,0.1,28.6,0.4
65,27MAR1991,26.2,0.1,27.4,0.1,27.7,0.3,28.9,0.6
66,03APR1991,25.8,0.1,27.3,0,27.8,0.2,28.9,0.5
67,10APR1991,25.2,0.5,27,0.4,27.8,0.1,29.1,0.7
68,17APR1991,24.9,0.5,27.5,0,28.2,0.4,29.2,0.7
