,x
1,United States
2,China
3,Japan
4,Germany
5,France
6,United Kingdom
7,Brazil
8,Russian Federation
9,Italy
10,India
11,Canada
12,Australia
13,Spain
14,Mexico
15,Korea, Rep.
16,Indonesia
17,Turkey
18,Netherlands
19,Saudi Arabia
20,Switzerland
21,Sweden
22,Iran, Islamic Rep.
23,Norway
24,Poland
25,Belgium
26,Argentina
27,Austria
28,South Africa
29,Venezuela, RB
30,Colombia
31,Thailand
32,United Arab Emirates
33,Denmark
34,Malaysia
35,Singapore
36,Chile
37,Hong Kong SAR, China
38,Egypt, Arab Rep.
39,Nigeria
40,Israel
41,Philippines
42,Greece
43,Finland
44,Pakistan
45,Portugal
46,Ireland
47,Iraq
48,Algeria
49,Peru
50,Kazakhstan
51,Czech Republic
52,Romania
53,Ukraine
54,Qatar
55,New Zealand
56,Kuwait
57,Vietnam
58,Hungary
59,Bangladesh
60,Angola
61,Puerto Rico
62,Morocco
63,Slovak Republic
64,Ecuador
65,Syrian Arab Republic
66,Oman
67,Cuba
68,Azerbaijan
69,Belarus
70,Sri Lanka
71,Croatia
72,Dominican Republic
73,Sudan
74,Luxembourg
75,Uzbekistan
76,Bulgaria
77,Guatemala
78,Uruguay
79,Tunisia
80,Slovenia
81,Costa Rica
82,Macao SAR, China
83,Lebanon
84,Lithuania
85,Ethiopia
86,Ghana
87,Kenya
88,Serbia
89,Panama
90,Yemen, Rep.
91,Turkmenistan
92,Jordan
93,Bahrain
94,Latvia
95,Tanzania
96,Bolivia
97,Paraguay
98,Cameroon
99,Côte d'Ivoire
100,El Salvador
101,Trinidad and Tobago
102,Cyprus
103,Estonia
104,Zambia
105,Afghanistan
106,Uganda
107,Nepal
108,Honduras
109,Gabon
110,Equatorial Guinea
111,Bosnia and Herzegovina
112,Congo, Dem. Rep.
113,Brunei Darussalam
114,Georgia
115,Papua New Guinea
116,Jamaica
117,Botswana
118,Mozambique
119,Senegal
120,Cambodia
121,Congo, Rep.
122,Iceland
123,Namibia
124,Chad
125,Albania
126,Nicaragua
127,Mauritius
128,Burkina Faso
129,Mali
130,Mongolia
131,South Sudan
132,Madagascar
133,Armenia
134,Zimbabwe
135,Macedonia, FYR
136,Lao PDR
137,Malta
138,Bahamas, The
139,Haiti
140,Benin
141,Moldova
142,Rwanda
143,Tajikistan
144,Niger
145,Kyrgyz Republic
146,Kosovo
147,Monaco
148,Guinea
149,Bermuda
150,Suriname
151,Montenegro
152,Malawi
153,Barbados
154,Mauritania
155,Fiji
156,Togo
157,Sierra Leone
158,Swaziland
159,Eritrea
160,Guyana
161,Aruba
162,Burundi
163,Lesotho
164,Maldives
165,Central African Republic
166,Cape Verde
167,Bhutan
168,Liberia
169,Belize
170,Timor-Leste
171,St. Lucia
172,Antigua and Barbuda
173,Seychelles
174,Solomon Islands
175,Gambia, The
176,Guinea-Bissau
177,Vanuatu
178,Grenada
179,St. Kitts and Nevis
180,St. Vincent and the Grenadines
181,Samoa
182,Comoros
183,Dominica
184,Tonga
185,Micronesia, Fed. Sts.
186,São Tomé and Principe
187,Palau
188,Marshall Islands
189,Kiribati
190,Tuvalu
191,
192,American Samoa
193,Andorra
194,Cayman Islands
195,Channel Islands
196,Curaçao
197,Djibouti
198,Faeroe Islands
199,French Polynesia
200,Greenland
201,Guam
202,Isle of Man
203,Korea, Dem. Rep.
204,Libya
205,Liechtenstein
206,Myanmar
207,New Caledonia
208,Northern Mariana Islands
209,San Marino
210,Sint Maarten (Dutch part)
211,Somalia
212,St. Martin (French part)
213,Turks and Caicos Islands
214,Virgin Islands (U.S.)
215,West Bank and Gaza
216,
217,World
218,
219,Low income
220,Middle income
221,  Lower middle income
222,  Upper middle income
223,Low & middle income
224,  East Asia & Pacific
225,  Europe & Central Asia
226,  Latin America & Caribbean
227,  Middle East & North Africa
228,  South Asia
229,  Sub-Saharan Africa
230,High income
231,  Euro area
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
