,x
1,89
2,310
3,106
4,240
5,118
6,115
7,0
8,35
9,47
10,51
11,114
12,51
13,67
14,0
15,92
16,51
17,71
18,349
19,270
20,83
21,78
22,115
23,314
24,22
25,73
26,73
27,39
28,63
29,88
30,321
31,77
32,105
33,15
34,126
35,113
36,25
37,58
38,87
39,11
40,111
41,106
42,62
43,73
44,101
45,110
46,124
47,63
48,52
49,23
50,72
51,135
52,101
53,102
54,83
55,18
56,34
57,66
58,0
59,75
60,114
61,78
62,39
63,73
64,27
65,49
66,107
67,76
68,100
69,68
70,0
71,44
72,10
73,70
74,90
75,82
76,33
77,63
78,369
79,112
80,102
81,34
82,76
83,253
84,172
85,27
86,0
87,44
88,106
89,63
90,62
91,129
92,110
93,132
94,137
95,62
96,115
97,117
98,23
99,115
100,34
101,108
102,296
103,250
104,80
105,74
106,73
107,0
108,0
109,183
110,0
111,107
112,88
113,295
114,27
115,42
116,83
117,65
118,46
119,125
120,134
121,162
122,34
123,22
124,83
125,120
126,72
127,72
128,100
129,27
130,36
131,86
132,93
133,114
134,85
135,198
136,57
137,15
138,90
139,99
140,0
141,76
142,21
143,130
144,109
145,89
146,51
147,96
148,152
149,197
150,92
151,86
152,211
153,26
154,21
155,0
156,267
157,216
158,105
159,109
160,75
161,110
162,141
163,102
164,87
165,337
166,129
167,150
168,66
169,105
170,405
171,338
172,129
173,87
174,67
175,100
176,105
177,69
178,72
179,157
180,139
181,103
182,39
183,59
184,80
185,205
186,214
187,132
188,116
189,62
190,111
191,26
192,27
193,42
194,101
195,162
196,70
197,116
198,116
199,116
200,63
201,89
202,345
203,122
204,0
205,107
206,154
207,124
208,63
209,71
210,72
211,286
212,56
213,197
214,25
215,124
216,179
217,147
218,114
219,87
220,65
221,18
222,93
223,137
224,298
225,22
226,20
227,75
228,104
229,87
230,435
231,27
232,49
233,120
234,130
235,76
236,34
237,109
238,26
239,58
240,90
241,234
242,70
243,402
244,56
245,19
246,105
247,73
248,117
249,86
250,23
251,114
252,379
253,123
254,23
255,47
256,23
257,30
258,65
259,0
260,103
261,106
262,97
263,0
264,77
265,39
266,337
267,86
268,40
269,75
270,54
271,0
272,95
273,24
274,244
275,44
276,49
277,24
278,115
279,67
280,0
281,126
282,36
283,92
284,97
285,0
286,153
287,40
288,93
289,120
290,28
291,120
292,95
293,119
294,0
295,102
296,18
297,97
298,93
299,236
300,115
301,96
302,68
303,80
304,56
305,190
306,129
307,77
308,294
309,15
310,41
311,25
312,84
313,99
314,26
315,81
316,0
317,99
318,113
319,129
320,119
321,82
322,196
323,77
324,347
325,120
326,69
327,72
328,42
329,69
330,70
331,73
332,75
333,81
334,143
335,45
336,254
337,91
338,91
339,142
340,90
341,100
342,94
343,56
344,128
345,315
346,113
347,109
348,73
349,58
350,127
351,38
352,103
353,34
354,104
355,21
356,22
357,124
358,131
359,94
360,199
361,114
362,44
363,103
364,90
365,123
366,140
367,104
368,79
369,44
370,81
371,84
372,103
373,137
374,96
375,56
376,152
377,310
378,66
379,91
380,18
381,111
382,0
383,116
384,98
385,145
386,98
387,0
388,34
389,38
390,0
391,139
392,36
393,332
394,84
395,98
396,55
397,349
398,216
399,59
400,75
401,110
402,28
403,70
404,378
405,114
406,137
407,22
408,38
409,176
410,89
411,44
412,322
413,112
414,154
415,551
416,23
417,115
418,93
419,137
420,35
421,111
422,233
423,120
424,67
425,105
426,135
427,44
428,18
429,98
430,123
431,71
432,174
433,119
434,32
435,107
436,47
437,90
438,163
439,80
440,27
441,0
442,0
443,30
444,80
445,142
446,303
447,98
448,139
449,332
450,118
451,58
452,49
453,23
454,138
455,118
456,205
457,124
458,218
459,15
460,38
461,76
462,143
463,88
464,138
465,75
466,0
467,99
468,84
469,34
470,76
471,175
472,269
473,93
474,62
475,194
476,289
477,25
478,119
479,38
480,64
481,80
482,97
483,90
484,101
485,72
486,223
487,107
488,15
489,290
490,283
491,19
492,74
493,272
494,97
495,20
496,388
497,97
498,132
499,100
500,36
501,70
502,0
503,89
504,87
505,120
506,79
507,244
508,124
509,69
510,48
511,119
512,24
513,77
514,89
515,86
516,75
517,110
518,132
519,98
520,80
521,50
522,96
523,17
524,87
525,60
526,80
527,0
528,41
529,47
530,60
531,53
532,177
533,24
534,86
535,103
536,0
537,26
538,109
539,73
540,65
541,77
542,183
543,37
544,75
545,44
546,84
547,30
548,126
549,227
550,84
551,0
552,92
553,340
554,0
555,51
556,85
557,64
558,22
559,76
560,65
561,137
562,117
563,107
564,190
565,85
566,74
567,93
568,63
569,118
570,25
571,114
572,73
573,61
574,194
575,120
576,101
577,95
578,68
579,29
580,9
581,121
582,55
583,81
584,25
585,178
586,20
587,70
588,24
589,178
590,68
591,105
592,85
593,110
594,95
595,382
596,93
597,78
598,23
599,113
600,23
601,75
602,97
603,113
604,16
605,100
606,102
607,87
608,15
609,114
610,73
611,19
612,95
613,68
614,210
615,129
616,102
617,29
618,95
619,104
620,26
621,70
622,110
623,198
624,133
625,257
626,235
627,44
628,56
629,114
630,64
631,0
632,109
633,78
634,108
635,104
636,0
637,123
638,34
639,77
640,316
641,0
642,132
643,72
644,86
645,72
646,107
647,0
648,79
649,66
650,36
651,24
652,119
653,110
654,121
655,121
656,163
657,101
658,31
659,77
660,238
661,83
662,88
663,63
664,76
665,43
666,366
667,14
668,84
669,53
670,308
671,107
672,90
673,202
674,17
675,96
676,22
677,69
678,48
679,90
680,112
681,85
682,51
683,75
684,25
685,101
686,21
687,81
688,73
689,0
690,89
691,112
692,69
693,98
694,102
695,78
696,68
697,88
698,34
699,55
700,85
701,19
702,0
703,106
704,167
705,245
706,122
707,68
708,136
709,34
710,100
711,72
712,44
713,120
714,123
715,161
716,69
717,80
718,116
719,36
720,41
721,103
722,86
723,41
724,50
725,51
726,155
727,75
728,11
729,87
730,72
731,47
732,0
733,51
734,0
735,90
736,13
737,0
738,91
739,70
740,58
741,194
742,41
743,100
744,65
745,113
746,100
747,0
748,190
749,232
750,88
751,39
752,50
753,66
754,75
755,119
756,91
757,102
758,117
759,80
760,131
761,70
762,74
763,80
764,50
765,0
766,110
767,91
768,65
769,15
770,114
771,56
772,100
773,375
774,28
775,36
776,100
777,157
778,511
779,0
780,75
781,200
782,65
783,25
784,80
785,102
786,132
787,62
788,67
789,0
790,95
791,14
792,153
793,64
794,95
795,120
796,23
797,62
798,66
799,82
800,123
801,39
802,98
803,65
804,38
805,95
806,86
807,114
808,77
809,94
810,39
811,181
812,97
813,34
814,87
815,101
816,37
817,144
818,90
819,25
820,0
821,126
822,88
823,59
824,88
825,81
826,53
827,55
828,69
829,134
830,130
831,33
832,71
833,78
834,69
835,105
836,177
837,62
838,60
839,94
840,141
841,91
842,64
843,0
844,27
845,131
846,95
847,81
848,18
849,54
850,123
851,0
852,84
853,114
854,177
855,91
856,21
857,110
858,115
859,327
860,104
861,99
862,44
863,61
864,127
865,27
866,92
867,110
868,76
869,107
870,67
871,102
872,31
873,62
874,97
875,108
876,101
877,53
878,0
879,54
880,90
881,54
882,74
883,189
884,53
885,82
886,123
887,100
888,75
889,109
890,99
891,67
892,16
893,66
894,159
895,72
896,61
897,223
898,0
899,93
900,59
901,18
902,84
903,90
904,17
905,19
906,65
907,46
908,82
909,97
910,0
911,46
912,37
913,0
914,312
915,222
916,118
917,463
918,95
919,47
920,21
921,25
922,97
923,13
924,73
925,82
926,133
927,150
928,58
929,139
930,63
931,89
932,74
933,110
934,65
935,29
936,26
937,130
938,0
939,63
940,18
941,59
942,78
943,80
944,75
945,191
946,62
947,48
948,30
949,28
950,37
951,126
952,70
953,114
954,0
955,24
956,83
957,76
958,95
959,80
960,0
961,27
962,63
963,126
964,115
965,105
966,63
967,27
968,85
969,106
970,33
971,56
972,78
973,92
974,69
975,277
976,56
977,134
978,73
979,73
980,66
981,78
982,110
983,22
984,104
985,87
986,60
987,52
988,15
989,74
990,98
991,134
992,89
993,97
994,36
995,74
996,122
997,47
998,47
999,25
1000,76
1001,112
1002,40
1003,83
1004,29
1005,53
1006,36
1007,0
1008,53
1009,0
1010,139
1011,56
1012,86
1013,580
1014,70
1015,24
1016,155
1017,17
1018,0
1019,501
1020,101
1021,73
1022,132
1023,51
1024,78
1025,107
1026,31
1027,358
1028,99
1029,129
1030,64
1031,110
1032,96
1033,22
1034,128
1035,272
1036,66
1037,73
1038,0
1039,90
1040,26
1041,0
1042,61
1043,321
1044,23
1045,110
1046,0
1047,78
1048,63
1049,140
1050,105
1051,30
1052,47
1053,75
1054,15
1055,95
1056,99
1057,56
1058,57
1059,72
1060,105
1061,118
1062,208
1063,60
1064,76
1065,113
1066,88
1067,150
1068,79
1069,65
1070,89
1071,134
1072,59
1073,77
1074,69
1075,30
1076,80
1077,77
1078,0
1079,133
1080,112
1081,28
1082,84
1083,117
1084,24
1085,123
1086,114
1087,71
1088,79
1089,35
1090,235
1091,69
1092,84
1093,80
1094,49
1095,61
1096,42
1097,101
1098,88
1099,112
1100,111
1101,61
1102,83
1103,22
1104,15
1105,398
1106,69
1107,60
1108,75
1109,40
1110,73
1111,93
1112,100
1113,132
1114,60
1115,71
1116,0
1117,0
1118,26
1119,162
1120,157
1121,77
1122,87
1123,112
1124,0
1125,33
1126,46
1127,134
1128,56
1129,49
1130,205
1131,36
1132,23
1133,186
1134,26
1135,71
1136,45
1137,39
1138,115
1139,241
1140,122
1141,106
1142,108
1143,49
1144,76
1145,12
1146,157
1147,139
1148,52
1149,113
1150,104
1151,78
1152,42
1153,82
1154,72
1155,420
1156,95
1157,27
1158,73
1159,44
1160,63
1161,90
1162,66
1163,97
1164,68
1165,179
1166,111
1167,27
1168,44
1169,75
1170,306
1171,131
1172,60
1173,463
1174,70
1175,36
1176,88
1177,88
1178,105
1179,270
1180,72
1181,53
1182,93
1183,252
1184,41
1185,165
1186,85
1187,61
1188,25
1189,28
1190,178
1191,120
1192,0
1193,165
1194,431
1195,177
1196,85
1197,161
1198,81
1199,100
1200,61
1201,136
1202,68
1203,17
1204,54
1205,0
1206,20
1207,77
1208,79
1209,98
1210,84
1211,0
1212,52
1213,57
1214,49
1215,55
1216,120
1217,318
1218,110
1219,25
1220,91
1221,103
1222,66
1223,99
1224,74
1225,165
1226,158
1227,121
1228,117
1229,72
1230,24
1231,114
1232,116
1233,101
1234,27
1235,56
1236,62
1237,78
1238,83
1239,54
1240,123
1241,54
1242,109
1243,50
1244,111
1245,443
1246,12
1247,88
1248,102
1249,118
1250,62
1251,53
1252,0
1253,116
1254,15
1255,49
1256,82
1257,0
1258,70
1259,72
1260,56
1261,103
1262,99
1263,122
1264,24
1265,67
1266,69
1267,92
1268,0
1269,117
1270,150
1271,97
1272,50
1273,71
1274,306
1275,24
1276,76
1277,226
1278,29
1279,99
1280,42
1281,66
1282,101
1283,132
1284,130
1285,0
1286,82
1287,52
1288,97
1289,36
1290,94
1291,69
1292,47
1293,0
1294,57
1295,122
1296,255
1297,51
1298,177
1299,118
1300,0
1301,101
1302,91
1303,86
1304,129
1305,0
1306,45
1307,31
1308,224
1309,122
1310,65
1311,149
1312,119
1313,106
1314,51
1315,163
1316,132
1317,103
1318,121
1319,32
1320,62
1321,107
1322,86
1323,70
1324,109
1325,88
1326,88
1327,113
1328,79
1329,138
1330,89
1331,83
1332,100
1333,112
1334,44
1335,86
1336,337
1337,26
1338,87
1339,96
1340,146
1341,15
1342,106
1343,91
1344,0
1345,18
1346,112
1347,107
1348,101
1349,19
1350,292
1351,65
1352,70
1353,95
1354,43
1355,103
1356,48
1357,120
1358,44
1359,113
1360,44
1361,15
1362,61
1363,0
1364,202
1365,70
1366,61
1367,146
1368,55
1369,44
1370,41
1371,114
1372,56
1373,127
1374,83
1375,26
1376,75
1377,0
1378,31
1379,61
1380,19
1381,150
1382,109
1383,130
1384,59
1385,137
1386,71
1387,31
1388,73
1389,97
1390,374
1391,73
1392,95
1393,56
1394,80
1395,169
1396,78
1397,102
1398,122
1399,76
1400,34
1401,77
1402,207
1403,47
1404,112
1405,121
1406,72
1407,30
1408,129
1409,41
1410,105
1411,0
1412,77
1413,28
1414,106
1415,205
1416,181
1417,48
1418,19
1419,0
1420,306
1421,53
1422,135
1423,71
1424,0
1425,117
1426,70
1427,61
1428,78
1429,58
1430,84
1431,52
1432,0
1433,78
1434,33
1435,95
1436,109
1437,183
1438,302
1439,127
1440,76
1441,81
1442,43
1443,80
1444,69
1445,234
1446,44
1447,116
1448,87
1449,78
1450,84
1451,77
1452,79
1453,353
1454,85
1455,120
1456,137
1457,129
1458,84
1459,21
1460,246
1461,164
1462,80
1463,139
1464,45
1465,229
1466,101
1467,34
1468,71
1469,126
1470,83
1471,144
1472,19
1473,93
1474,22
1475,28
1476,182
1477,76
1478,71
1479,126
1480,90
1481,70
1482,95
1483,75
1484,74
1485,106
1486,54
1487,114
1488,148
1489,91
1490,19
1491,80
1492,124
1493,15
1494,120
1495,113
1496,115
1497,521
1498,15
1499,72
1500,73
1501,189
1502,32
1503,23
1504,66
1505,88
1506,130
1507,146
1508,0
1509,27
1510,70
1511,96
1512,122
1513,61
1514,109
1515,63
1516,308
1517,106
1518,30
1519,128
1520,73
1521,157
1522,131
1523,61
1524,32
1525,109
1526,81
1527,98
1528,35
1529,37
1530,121
1531,120
1532,98
1533,105
1534,30
1535,128
1536,30
1537,134
1538,89
1539,98
1540,308
1541,92
1542,22
1543,69
1544,145
1545,19
1546,0
1547,33
1548,34
1549,119
1550,72
1551,38
1552,46
1553,323
1554,178
1555,0
1556,87
1557,0
1558,207
1559,52
1560,63
1561,24
1562,75
1563,215
1564,99
1565,106
1566,53
1567,95
1568,109
1569,54
1570,80
1571,65
1572,75
1573,206
1574,128
1575,154
1576,20
1577,29
1578,56
1579,14
1580,70
1581,79
1582,81
1583,300
1584,0
1585,256
1586,106
1587,91
1588,236
1589,22
1590,70
1591,44
1592,219
1593,110
1594,61
1595,81
1596,108
1597,98
1598,82
1599,308
1600,98
1601,120
1602,75
1603,85
1604,77
1605,267
1606,0
1607,146
1608,142
1609,70
1610,36
1611,176
1612,89
1613,101
1614,125
1615,32
1616,104
1617,87
1618,113
1619,0
1620,123
1621,91
1622,110
1623,26
1624,100
1625,238
1626,29
1627,66
1628,142
1629,126
1630,88
1631,27
1632,115
1633,71
1634,104
1635,60
1636,34
1637,102
1638,16
1639,114
1640,246
1641,107
1642,75
1643,378
1644,75
1645,100
1646,90
1647,83
1648,87
1649,13
1650,89
1651,52
1652,29
1653,29
1654,101
1655,18
1656,61
1657,110
1658,64
1659,119
1660,72
1661,100
1662,151
1663,59
1664,86
1665,105
1666,104
1667,98
1668,130
1669,21
1670,64
1671,43
1672,123
1673,79
1674,204
1675,39
1676,60
1677,25
1678,39
1679,78
1680,364
1681,153
1682,147
1683,55
1684,80
1685,85
1686,51
1687,79
1688,30
1689,109
1690,57
1691,90
1692,88
1693,139
1694,58
1695,72
1696,107
1697,0
1698,136
1699,186
1700,177
1701,40
1702,90
1703,73
1704,104
1705,61
1706,103
1707,84
1708,33
1709,23
1710,68
1711,82
1712,44
1713,135
1714,102
1715,0
1716,70
1717,244
1718,111
1719,119
1720,136
1721,266
1722,24
1723,47
1724,15
1725,106
1726,101
1727,165
1728,89
1729,18
1730,118
1731,97
1732,0
1733,349
1734,66
1735,15
1736,68
1737,83
1738,101
1739,244
1740,28
1741,132
1742,64
1743,46
1744,241
1745,96
1746,0
1747,152
1748,86
1749,104
1750,40
1751,116
1752,184
1753,164
1754,119
1755,64
1756,105
1757,118
1758,90
1759,65
1760,61
1761,96
1762,351
1763,76
1764,150
1765,128
1766,74
1767,32
1768,67
1769,89
1770,88
1771,147
1772,29
1773,66
1774,75
1775,155
1776,19
1777,125
1778,60
1779,124
1780,51
1781,62
1782,58
1783,367
1784,136
1785,24
1786,57
1787,53
1788,34
1789,87
1790,110
1791,108
1792,64
1793,285
1794,78
1795,24
1796,64
1797,84
1798,46
1799,85
1800,47
1801,0
1802,50
1803,159
1804,109
1805,108
1806,0
1807,86
1808,26
1809,86
1810,81
1811,25
1812,24
1813,32
1814,50
1815,21
1816,101
1817,441
1818,379
1819,71
1820,95
1821,232
1822,19
1823,102
1824,82
1825,0
1826,118
1827,69
1828,68
1829,14
1830,164
1831,0
1832,89
1833,49
1834,83
1835,109
1836,97
1837,22
1838,107
1839,92
1840,54
1841,58
1842,19
1843,24
1844,58
1845,0
1846,59
1847,71
1848,0
1849,549
1850,100
1851,105
1852,107
1853,107
1854,89
1855,20
1856,40
1857,73
1858,82
1859,51
1860,104
1861,73
1862,87
1863,52
1864,90
1865,125
1866,41
1867,367
1868,181
1869,59
1870,277
1871,44
1872,233
1873,77
1874,61
1875,99
1876,187
1877,39
1878,70
1879,39
1880,64
1881,94
1882,193
1883,29
1884,94
1885,48
1886,140
1887,75
1888,111
1889,83
1890,78
1891,43
1892,175
1893,0
1894,0
1895,46
1896,41
1897,74
1898,50
1899,114
1900,81
1901,99
1902,70
1903,232
1904,113
1905,88
1906,13
1907,0
1908,272
1909,113
1910,110
1911,46
1912,57
1913,0
1914,90
1915,64
1916,57
1917,112
1918,88
1919,22
1920,241
1921,47
1922,121
1923,24
1924,270
1925,100
1926,48
1927,31
1928,23
1929,52
1930,18
1931,101
1932,108
1933,97
1934,44
1935,113
1936,110
1937,71
1938,115
1939,320
1940,0
1941,120
1942,91
1943,56
1944,94
1945,54
1946,65
1947,72
1948,29
1949,79
1950,171
1951,224
1952,38
1953,31
1954,223
1955,106
1956,200
1957,153
1958,135
1959,96
1960,0
1961,19
1962,81
1963,130
1964,79
1965,95
1966,70
1967,102
1968,204
1969,12
1970,352
1971,139
1972,88
1973,34
1974,131
1975,101
1976,59
1977,133
1978,0
1979,120
1980,48
1981,19
1982,17
1983,328
1984,103
1985,58
1986,67
1987,173
1988,28
1989,60
1990,158
1991,352
